link,name,mk_name,category,description,rating,review_count,phone,website,picture
https://www.google.com/maps/place/Canyon+Matka/data=!4m7!3m6!1s0x1354103a88a46685:0xd2b208cdb098b393!8m2!3d41.9506991!4d21.2996209!16s%2Fm%2F09gcxkn!19sChIJhWakiDoQVBMRk7OYsM0IstI?authuser=0&hl=en&rclk=1,Canyon Matka,Клисура Матка,Nature preserve,"Picturesque gorge with medieval monasteries, also offering boating, hiking & cave exploration.",4.7,"7,258 reviews",+389 70 271 900,none,https://lh5.googleusercontent.com/p/AF1QipNY-5TQ3M1_a8daGSCn8alFlSPilBF3n8sRPJcE=w408-h306-k-no
https://www.google.com/maps/place/Old+Bazaar/data=!4m7!3m6!1s0x135415afad379837:0xd19f732f5ede1e48!8m2!3d42.000961!4d21.4371546!16s%2Fm%2F09ghwt2!19sChIJN5g3ra8VVBMRSB7eXi9zn9E?authuser=0&hl=en&rclk=1,Old Bazaar,Стара чаршија,Market,"Vibrant old bazaar built in Ottoman architectural style, with mosques, markets, shops and cafes.",4.5,"14,853 reviews",none,none,https://lh5.googleusercontent.com/p/AF1QipMzyJfsdf1XYOtRPPt5uTrpf5uOVrI2GzjJPaz0=w408-h306-k-no
https://www.google.com/maps/place/Kokino+megalithic+observatory/data=!4m7!3m6!1s0x1355074b18a677d1:0x1ce05a73c3049a6f!8m2!3d42.2630342!4d21.9537199!16zL20vMDliemN4!19sChIJ0XemGEsHVRMRb5oEw3Na4Bw?authuser=0&hl=en&rclk=1,Kokino megalithic observatory,Кокино мегалитска опсерваторија,Observatory,Mountainous site with the archaeological ruins of a Bronze Age observatory.,4.7,426 reviews,none,kokino.mk,https://lh5.googleusercontent.com/p/AF1QipOrCPfVgJ_p2LWzyfhuB1VdOoGpFKK7dAwcZcEa=w408-h272-k-no
https://www.google.com/maps/place/Stone+Bridge/data=!4m7!3m6!1s0x135415b3e094c2cd:0x9a702c998e170a3e!8m2!3d41.9969881!4d21.433031!16s%2Fm%2F03h5zxl!19sChIJzcKU4LMVVBMRPgoXjpkscJo?authuser=0&hl=en&rclk=1,Stone Bridge,Камен мост,Bridge,"Built in the 15th century, this stone, arched bridge is a prominent symbol of the country's capital.",4.6,"3,666 reviews",none,none,https://lh5.googleusercontent.com/p/AF1QipPAGAkzhHeYsdSqPKGDsps-2k8Rz-5EkHVB3imU=w408-h306-k-no
https://www.google.com/maps/place/Monastery+of+St.+Naum/data=!4m7!3m6!1s0x1350be4b97d658db:0x527f1a786822494d!8m2!3d40.9139033!4d20.7407263!16zL20vMDl0Nmo4!19sChIJ21jWl0u-UBMRTUkiaHgaf1I?authuser=0&hl=en&rclk=1,Monastery of St. Naum,Манастир Свети Наум,Monastery,"Eastern Orthodox monastery founded in 905, open to the public with lake views & live peacocks.",4.8,"6,606 reviews",none,none,https://lh5.googleusercontent.com/p/AF1QipNWGhlIIRfYjUs3tpajxH_-gOvaR21GlnrkS1Kc=w408-h306-k-no
https://www.google.com/maps/place/Memorial+House+of+Mother+Teresa/data=!4m7!3m6!1s0x135415b5a95eb8f5:0xc4fa5050af12edfd!8m2!3d41.99382!4d21.4308717!16s%2Fm%2F05f9tx6!19sChIJ9bheqbUVVBMR_e0Sr1BQ-sQ?authuser=0&hl=en&rclk=1,Memorial House of Mother Teresa,Спомен-куќа на Мајка Тереза,History museum,"Museum dedicated to a renowned Catholic nun, with an eclectic design & a striking, modern chapel.",4.4,"2,007 reviews",+389 2 329 0674,memorialhouseofmotherteresa.com,https://lh5.googleusercontent.com/p/AF1QipOEDKj94JbqjDoyv3H1jQAOffH67Tl7NEqsNdSv=w408-h272-k-no
https://www.google.com/maps/place/National+Park+%E2%80%9EPelister%E2%80%9C/data=!4m7!3m6!1s0x135724f96a99752b:0x46f5baa54c8ac5ec!8m2!3d41.0014546!4d21.2129616!16s%2Fm%2F0kvkq31!19sChIJK3WZavkkVxMR7MWKTKW69UY?authuser=0&hl=en&rclk=1,National Park „Pelister“,Национален парк „Пелистер“,National park,"Covering 66 sq .mi., this popular forest of rare pines offers trails, wildlife, ski areas & views.",4.8,"1,112 reviews",+389 47 233 464,park-pelister.com,https://lh5.googleusercontent.com/p/AF1QipOvx5I7NTg_LCX6NOd-mwptHo4c01gC2a7SLCSs=w408-h306-k-no
https://www.google.com/maps/place/Millennium+Cross/data=!4m7!3m6!1s0x135416b98356a92f:0x174252c6d34679ff!8m2!3d41.9651384!4d21.3943505!16s%2Fm%2F03wfpdm!19sChIJL6lWg7kWVBMR_3lG08ZSQhc?authuser=0&hl=en&rclk=1,Millennium Cross,Милениумски крст,Tourist attraction,"Memorial cross on top of a mountain accessible by cable car, with picturesque views of city below.",4.6,"3,378 reviews",+389 70 806 626,zicnica.jsp.com.mk,https://lh5.googleusercontent.com/p/AF1QipMDetPvKteYvflGDqYX1eQoHTsmCAvr5NVtUtXJ=w408-h544-k-no
https://www.google.com/maps/place/The+Bay+of+Bones/data=!4m7!3m6!1s0x1350c13030cfd3ab:0xc16529b84830e9e0!8m2!3d40.9943675!4d20.7980954!16s%2Fg%2F11f0l4xjmh!19sChIJq9PPMDDBUBMR4OkwSLgpZcE?authuser=0&hl=en&rclk=1,The Bay of Bones,Заливот на коските,Museum,Reconstructed village of stilt houses displaying Bronze & Iron Age items recovered from Lake Ohrid.,4.5,"2,739 reviews",+389 46 231 300,muzejohrid.mk,https://lh5.googleusercontent.com/p/AF1QipNm3G85sC9Xn0CUxodIYPVMQ0_m-xmiYk5EJzJM=w408-h305-k-no
https://www.google.com/maps/place/Mavrovo+National+Park/data=!4m7!3m6!1s0x135169bf75f88ba3:0x58665d22c9d1ea2c!8m2!3d41.6995671!4d20.6652778!16s%2Fm%2F0zwnj7k!19sChIJo4v4db9pURMRLOrRySJdZlg?authuser=0&hl=en&rclk=1,Mavrovo National Park,Национален парк „Маврово“,National park,"Large national park founded in 1949, featuring trails through mountains & canyons & along a river.",4.7,"2,691 reviews",+389 42 489 425,npmavrovo.org.mk,https://lh5.googleusercontent.com/p/AF1QipP1CZZSm2VAsbggSQy_t4V3ElqajfbnS1skR5sp=w408-h306-k-no
https://www.google.com/maps/place/Archaeological+Museum+of+the+Republic+of+Macedonia/data=!4m7!3m6!1s0x135415aef89e7f7d:0x7f10f7b3ba13ae34!8m2!3d41.996783!4d21.4343423!16s%2Fg%2F11bvsrsdhg!19sChIJfX-e-K4VVBMRNK4TurP3EH8?authuser=0&hl=en&rclk=1,Archaeological Museum of the Republic of Macedonia,Археолошки музеј на Република Македонија,Museum,"Grand museum offering archeological relics from ancient Macedonian times, including coins & statues.",4.1,768 reviews,+389 2 323 3999,amm.org.mk,https://lh5.googleusercontent.com/p/AF1QipMfevIpMDL-UaBQrrlCrnFivQYuClRSLRMblDC-=w408-h306-k-no
https://www.google.com/maps/place/Koleshino+Waterfall/data=!4m7!3m6!1s0x14a9fa744b70f965:0xb293ac5648f1873b!8m2!3d41.3695082!4d22.8068927!16s%2Fm%2F03c33g1!19sChIJZflwS3T6qRQRO4fxSFask7I?authuser=0&hl=en&rclk=1,Koleshino Waterfall,Колешински Водопад,Tourist attraction,none,4.8,463 reviews,+389 34 351 796,none,https://lh5.googleusercontent.com/p/AF1QipPiU_BpUeX6DVK62JBNx0vdjgaShssCfNKu8_Ov=w408-h883-k-no
https://www.google.com/maps/place/Church+of+Saint+John+the+Theologian/data=!4m7!3m6!1s0x1350dcb9e2457c71:0xbea74f2f5ddcc056!8m2!3d41.1111028!4d20.7887528!16s%2Fm%2F02r390y!19sChIJcXxF4rncUBMRVsDcXS9Pp74?authuser=0&hl=en&rclk=1,Church of Saint John the Theologian,Црква „Свети Јован Богослов“,Orthodox church,"Historic, landmark Orthodox church overlooking Lake Ohrid, with picnic & seating areas.",4.9,"2,702 reviews",+389 46 230 455,none,https://lh5.googleusercontent.com/p/AF1QipM8DGM2obc9GOxs2mDp-xNvI9sl1T5YICgAiZ1b=w408-h306-k-no
https://www.google.com/maps/place/Macedonia+Square/data=!4m7!3m6!1s0x135415b475092443:0x2420e649a4b27994!8m2!3d41.9962084!4d21.4318933!16s%2Fg%2F11fxfvjglg!19sChIJQyQJdbQVVBMRlHmypEnmICQ?authuser=0&hl=en&rclk=1,Macedonia Square,Плоштад „Македонија“,Tourist attraction,none,4.4,"1,339 reviews",none,skopje.mk,https://lh5.googleusercontent.com/p/AF1QipPzVuaSoDmiQPFE4A0UueVWYD2JLyRvyCvueKro=w408-h271-k-no
https://www.google.com/maps/place/Skopje+Fortress/data=!4m7!3m6!1s0x135415ac30000001:0xfc4d0b3f68ae3f03!8m2!3d42.0006598!4d21.4326293!16s%2Fm%2F02vx62f!19sChIJAQAAMKwVVBMRAz-uaD8LTfw?authuser=0&hl=en&rclk=1,Skopje Fortress,Скопска тврдина Кале,Fortress,"Remains of a 6th-century hilltop stone fortress, offering panoramic views of the city & river.",4.2,"1,470 reviews",+389 2 312 9323,none,https://lh5.googleusercontent.com/p/AF1QipN0jES36stjCaeM7ceHH2eJINWgjGgEXb3eXGQ=w408-h544-k-no
https://www.google.com/maps/place/Holy+Mother+of+God+(Treskavec+Monastery)/data=!4m7!3m6!1s0x1356eb3c7e0d3f9b:0xc75a900a4ef67a6f!8m2!3d41.4041534!4d21.5379749!16s%2Fm%2F05b5cz0!19sChIJmz8NfjzrVhMRb3r2TgqQWsc?authuser=0&hl=en&rclk=1,Holy Mother of God (Treskavec Monastery),Успение на Пресвета Богородица,Monastery,"Hilltop church dating from the 12th century, with elaborate ceiling frescoes & valley views.",4.8,312 reviews,none,none,https://lh5.googleusercontent.com/p/AF1QipOcr6LDqvDZt78S_MSYIF7M8x_Cgvn5BswczNQk=w408-h270-k-no
